Watching for file changes with StatReloader
Not Found: /api/v1/
[04/Jun/2026 11:54:56] "GET /api/v1/ HTTP/1.1" 404 19204
Unauthorized: /api/v1/projects/
[04/Jun/2026 11:55:01] "GET /api/v1/projects/ HTTP/1.1" 401 82
[04/Jun/2026 11:56:09] "OPTIONS /api/v1/users/me/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:09] "OPTIONS /api/v1/users/me/ HTTP/1.1" 200 0
Unauthorized: /api/v1/users/me/
[04/Jun/2026 11:56:09] "GET /api/v1/users/me/ HTTP/1.1" 401 226
[04/Jun/2026 11:56:09] "OPTIONS /api/v1/users/token/refresh/ HTTP/1.1" 200 0
Unauthorized: /api/v1/users/me/
[04/Jun/2026 11:56:09] "GET /api/v1/users/me/ HTTP/1.1" 401 226
[04/Jun/2026 11:56:10] "POST /api/v1/users/token/refresh/ HTTP/1.1" 200 246
[04/Jun/2026 11:56:10] "POST /api/v1/users/token/refresh/ HTTP/1.1" 200 246
[04/Jun/2026 11:56:10] "GET /api/v1/users/me/ HTTP/1.1" 200 246
[04/Jun/2026 11:56:11] "GET /api/v1/users/me/ HTTP/1.1" 200 246
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/notifications/?unread=true HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/projects/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/projects/catalog/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/users/me/tasks/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/projects/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/projects/catalog/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/notifications/?unread=true HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "OPTIONS /api/v1/users/me/tasks/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:11] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:11] "GET /api/v1/projects/ HTTP/1.1" 200 20938
[04/Jun/2026 11:56:11] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35548
[04/Jun/2026 11:56:11] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 16871
[04/Jun/2026 11:56:11] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:11] "GET /api/v1/projects/ HTTP/1.1" 200 20938
[04/Jun/2026 11:56:11] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35548
[04/Jun/2026 11:56:11] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 16871
[04/Jun/2026 11:56:11] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:28] "OPTIONS /api/v1/users/login/ HTTP/1.1" 200 0
[04/Jun/2026 11:56:30] "POST /api/v1/users/login/ HTTP/1.1" 200 757
[04/Jun/2026 11:56:31] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:56:31] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:56:31] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:56:31] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:31] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:56:31] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:56:31] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:56:31] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:48] "POST /api/v1/users/login/ HTTP/1.1" 200 762
[04/Jun/2026 11:56:49] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:49] "GET /api/v1/projects/ HTTP/1.1" 200 2
[04/Jun/2026 11:56:49] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35555
[04/Jun/2026 11:56:49] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 2
[04/Jun/2026 11:56:49] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:56:49] "GET /api/v1/projects/ HTTP/1.1" 200 2
[04/Jun/2026 11:56:49] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35555
[04/Jun/2026 11:56:49] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 2
[04/Jun/2026 11:57:19] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:57:25] "PATCH /api/v1/users/me/ HTTP/1.1" 200 305
[04/Jun/2026 11:57:26] "GET /api/v1/users/me/ HTTP/1.1" 200 237
[04/Jun/2026 11:57:26] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:57:36] "POST /api/v1/users/login/ HTTP/1.1" 200 757
[04/Jun/2026 11:57:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:57:36] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:57:36] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:57:37] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:57:37] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:57:37] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:57:37] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:57:37] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:58:07] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:58:36] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:58:57] "OPTIONS /api/v1/notifications/ HTTP/1.1" 200 0
[04/Jun/2026 11:58:57] "GET /api/v1/notifications/ HTTP/1.1" 200 2
[04/Jun/2026 11:59:01] "OPTIONS /api/v1/projects/256/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:01] "OPTIONS /api/v1/projects/256/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:02] "GET /api/v1/projects/256/ HTTP/1.1" 200 2700
[04/Jun/2026 11:59:02] "OPTIONS /api/v1/projects/256/stats/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:02] "GET /api/v1/projects/256/ HTTP/1.1" 200 2700
[04/Jun/2026 11:59:02] "GET /api/v1/projects/256/stats/ HTTP/1.1" 200 83
[04/Jun/2026 11:59:05] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:59:05] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:59:05] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:59:05] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:59:05] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:59:06] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:59:06] "GET /api/v1/notifications/?unread=true HTTP/1.1" 200 2
[04/Jun/2026 11:59:07] "OPTIONS /api/v1/projects/251/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:07] "OPTIONS /api/v1/projects/251/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:07] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 11:59:07] "OPTIONS /api/v1/projects/251/stats/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:07] "OPTIONS /api/v1/projects/251/tasks/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:07] "GET /api/v1/projects/251/ HTTP/1.1" 200 3662
[04/Jun/2026 11:59:07] "GET /api/v1/projects/251/tasks/ HTTP/1.1" 200 24612
[04/Jun/2026 11:59:07] "GET /api/v1/projects/251/stats/ HTTP/1.1" 200 84
[04/Jun/2026 11:59:21] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:59:21] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:59:21] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:59:21] "GET /api/v1/users/me/tasks/ HTTP/1.1" 200 22975
[04/Jun/2026 11:59:21] "GET /api/v1/projects/ HTTP/1.1" 200 31248
[04/Jun/2026 11:59:21] "GET /api/v1/projects/catalog/ HTTP/1.1" 200 35545
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/tasks/3024/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/tasks/3024/history/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/tasks/3024/history/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/tasks/3024/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "GET /api/v1/tasks/3024/ HTTP/1.1" 200 1158
[04/Jun/2026 11:59:29] "GET /api/v1/tasks/3024/history/ HTTP/1.1" 200 377
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/projects/225/members/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "GET /api/v1/tasks/3024/ HTTP/1.1" 200 1158
[04/Jun/2026 11:59:29] "GET /api/v1/projects/225/members/ HTTP/1.1" 200 820
[04/Jun/2026 11:59:29] "OPTIONS /api/v1/tasks/3024/attachments/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:29] "GET /api/v1/tasks/3024/history/ HTTP/1.1" 200 377
[04/Jun/2026 11:59:30] "GET /api/v1/projects/225/members/ HTTP/1.1" 200 820
[04/Jun/2026 11:59:30] "GET /api/v1/tasks/3024/attachments/ HTTP/1.1" 200 2
[04/Jun/2026 11:59:30] "GET /api/v1/tasks/3024/attachments/ HTTP/1.1" 200 2
[04/Jun/2026 11:59:32] "OPTIONS /api/v1/projects/225/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:32] "OPTIONS /api/v1/projects/225/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:32] "GET /api/v1/projects/225/ HTTP/1.1" 200 3636
[04/Jun/2026 11:59:32] "OPTIONS /api/v1/projects/225/stats/ HTTP/1.1" 200 0
[04/Jun/2026 11:59:32] "GET /api/v1/projects/225/stats/ HTTP/1.1" 200 81
[04/Jun/2026 11:59:32] "GET /api/v1/projects/225/ HTTP/1.1" 200 3636
[04/Jun/2026 11:59:34] "GET /api/v1/projects/ HTTP/1.1" 200 31248
